tconst,primaryTitle,originalTitle,year,runtimeMinutes,numVotes,label,writers,directors,title_is_same,normalized_title
tt0009369,Mickey,Mickey,1918,93.0,1119.0,0,"nm0215874,nm0370271","nm0428059,nm0949648",1,mickey
tt0010600,The Doll,Die Puppe,1919,66.0,1898.0,1,"nm0006782,nm0473134,nm0523932,nm0932559",nm0523932,0,the doll
tt0011439,The Mark of Zorro,The Mark of Zorro,1920,79.0,2439.0,1,"nm0191547,nm0001196,nm1491939",nm0629243,1,the mark of zorro
tt0011607,The Parson's Widow,Prästänkan,1920,94.0,1264.0,1,"nm0003433,nm0418114",nm0003433,0,the parsons widow
tt0011841,Way Down East,Way Down East,1920,145.0,5376.0,1,"nm0662461,nm0103755,nm0342604,nm0446189,nm0000428",nm0000428,1,way down east
tt0012349,The Kid,The Kid,1921,68.0,121452.0,1,nm0000122,nm0000122,1,the kid
tt0012494,Déstiny,Der müde Tod,1921,97.0,5842.0,1,"nm0000485,nm0902376",nm0000485,0,destiny
tt0012532,Ớrpháns ớf thé Stớrm,Ớrpháns ớf thé Stớrm,1921,150.0,3558.0,1,"nm0257866,nm0180077,nm0000428",nm0000428,1,orphans of the storm
tt0013257,Häxan,Häxan,1922,91.0,13679.0,1,nm0159725,nm0159725,1,haxan
tt0013556,Robin Hood,Robin Hood,1922,143.0,2178.0,1,"nm0001196,nm0202617,nm0245385,nm0461241,nm0940689",nm0245385,1,robin hood
tt0013933,The Faithful Heart,Coeur fidèle,1923,87.0,1252.0,1,"nm0258477,nm0258506",nm0258477,0,the faithful heart
tt0014109,The Saga of Gösta Berling,The Saga of Gösta Berling,1924,183.0,1231.0,1,"nm0405147,nm0481248,nm0830249",nm0830249,1,the saga of gosta berling
tt0014142,The Hunchback of Notre Dame,The Hunchback of Notre Dame,2006,133.0,5288.0,1,"nm0401076,nm0790622,nm0522871,nm0730929",nm0941637,1,the hunchback of notre dame
tt0014341,Our Hospitality,Our Hospitality,1923,65.0,10911.0,1,"nm0369841,nm0115669,nm0593477","nm0090007,nm0000036",1,our hospitality
tt0014358,The Pilgrim,The Pilgrim,1923,47.0,4891.0,1,nm0000122,nm0000122,1,the pilgrim
tt0014538,Three Ages,Three Ages,1923,63.0,4312.0,1,"nm0115669,nm0593477,nm0369841,nm0000036","nm0000036,nm0166836",1,three ages
tt0014611,Why Worry?,Why Worry?,1923,63.0,1739.0,1,"nm0853130,nm0928514,nm0924065,nm0907778","nm0628345,nm0853130",1,why worry
tt0014945,Girl Shy,Girl Shy,1924,87.0,3327.0,1,"nm0853130,nm0928514,nm0924065,nm0336984,nm0516001","nm0853130,nm0628345",1,girl shy
tt0015064,The Last Laugh,Der letzte Mann,1924,77.0,3558.0,1,nm0562346,nm0003638,0,the last laugh
tt0015163,The Navigator,The Navigator,1924,59.0,9652.0,1,"nm0115669,nm0593477,nm0369841","nm0187981,nm0000036",1,the navigator
tt0015224,Peter Pan,Peter Pan,1924,105.0,1042.0,1,"nm0057381,nm0325135",nm0107543,1,peter pan
tt0015361,Strike,Strike,1925,82.0,7695.0,1,"nm0017893,nm0001178,nm0470402,nm0687244",nm0001178,1,strike
tt0015400,The Thief of Bagdad,The Thief of Bagdad,1924,155.0,6001.0,1,"nm0940689,nm0001196,nm0008280,nm0640884",nm0909825,1,the thief of bagdad
tt0015841,The Freshman,The Freshman,1925,77.0,5374.0,1,"nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001","nm0628345,nm0853130",1,the freshman
tt0015842,The Joyless Street,The Joyless Street,1925,125.0,1554.0,1,"nm0079278,nm0352026,nm1680388",nm0655065,1,the joyless street
tt0015864,The Gold Rush,The Gold Rush,1925,95.0,107475.0,1,nm0000122,nm0000122,1,the gold rush
tt0015881,Greed,Greed,1924,140.0,9649.0,1,"nm0558923,nm0002233,nm0635805,nm0267868",nm0002233,1,greed
tt0016029,The Little Colonel,The Little Colonel,1935,81.0,1646.0,1,"nm0175902,nm0426531,nm0124877",nm0124877,1,the little colonel
tt0016220,The Phantom of the Opera,The Phantom of the Opera,1925,93.0,17887.0,1,"nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473","nm0432216,nm0151606,nm0480677,nm0781292",1,the phantom of the opera
tt0016544,The Wizard of Oz,The Wizard of Oz,1925,95.0,1497.0,0,"nm0000875,nm0062091,nm0497736,nm0783865",nm0783865,1,the wizard of oz
tt0016630,Báttling Bútlér,Battling Butler,1926,77.0,3285.0,1,"nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650",nm0000036,0,battling butler
tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,143.0,7539.0,1,"nm0908753,nm0558923,nm0933133,nm0385012,nm0129721","nm0629243,nm0102643,nm0127511,nm0169905,nm0002271",1,benhur a tale of the christ
tt0016847,Faust,Faust,1926,107.0,14809.0,1,"nm0369458,nm0477515,nm0324473",nm0003638,1,faust
tt0017048,A Page of Madness,A Page of Madness,1926,70.0,3357.0,1,"nm0442704,nm0455938,nm0409467,nm2396540,nm1273449",nm0455938,1,a page of madness
tt0017271,By the Law,By the Law,2006,80.0,1057.0,1,"nm0474487,nm0518711,nm0794531",nm0474487,1,by the law
tt0017350,The Scarlet Letter,The Scarlet Letter,1926,115.0,1768.0,1,"nm0370426,nm0547966",nm0803705,1,the scarlet letter
tt0017463,3 Bad Men,3 Bad Men,1926,92.0,1165.0,1,"nm0924268,nm0831958,nm0817809,nm0102167",nm0000406,1,3 bad men
tt0017925,The General,The General,1926,67.0,87784.0,1,"nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548","nm0115669,nm0000036",1,the general
tt0017961,Happiness,Happiness,1935,95.0,1080.0,1,nm0575963,nm0575963,1,happiness
