column0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,writers,directors
147,tt0025929,A Story of Floating Weeds,Ukikusa monogatari,1934,\N,86,3032.0,"nm0407456,nm0654868",nm0654868
324,tt0035019,The Major and the Minor,,1942,\N,100,6733.0,"nm0102818,nm0000697,nm0139321,nm0452932",nm0000697
628,tt0047638,The Woman of Rumour,Uwasa no onna,1954,\N,83,1186.0,"nm0621534,nm0406808",nm0003226
666,tt0048933,Street of Shame,Akasen chitai,1956,\N,86,4232.0,"nm0621534,nm0793061",nm0003226
684,tt0049408,The King and I,,1956,\N,133,25179.0,"nm0499626,nm0358564,nm0484933",nm0485943
786,tt0052700,Compulsion,,1959,\N,103,6404.0,"nm0614645,nm0505670",nm0281507
835,tt0053666,Les Bonnes Femmes,,1960,\N,100,2727.0,"nm0337541,nm0001031",nm0001031
898,tt0055093,Lola,,1961,\N,90,6239.0,nm0218840,nm0218840
1357,tt0067309,Klute,,1971,\N,114,24835.0,"nm0506920,nm5557134",nm0001587
1358,tt0067355,They Call Me Trinity,Lo chiamavano Trinità...,1970,\N,115,21367.0,"nm0005645,nm0526876",nm0005645
1482,tt0070464,O Lucky Man!,,1973,\N,178,8065.0,"nm0792773,nm0000532",nm0000755
1507,tt0071269,California Split,,1974,\N,108,6638.0,nm0909715,nm0000265
1549,tt0072960,Trauma,Exposé,1976,\N,84,1076.0,nm0164037,nm0164037
1652,tt0075824,That Obscure Object of Desire,,1977,\N,103,22104.0,"nm0000320,nm0140643,nm0522223",nm0000320
1832,tt0081617,Térrớr Tráin,,1980,\N,97,11445.0,"nm0237021,nm0342841,nm0711083",nm0006854
1848,tt0082243,Strange Behavior,,1981,\N,99,1889.0,"nm0174374,nm0490861",nm0490861
1862,tt0082467,Graduation Day,,1981,\N,96,3910.0,"nm0548116,nm0293113,nm0062009",nm0293113
2038,tt0086232,Sahara,Sahara,1983,\N,111,1621.0,"nm0324875,nm0798033","nm0572132,nm0347086"
2390,tt0094747,Bird,Bird,\N,1988,161,12215.0,nm0000713,nm0000142
2674,tt0102701,Prahaar: The Final Attack,Prahaar: The Final Attack,1991,\N,166,1926.0,"nm1195250,nm0007113,nm0784044","nm1823221,nm0007113"
2713,tt0103994,Like Water for Chocolate,Como agua para chocolate,1992,\N,105,17576.0,nm0261294,nm0000778
2723,tt0104279,Flodder in Amerika!,Flodder in Amerika!,\N,1992,120,4691.0,nm0530975,nm0530975
2748,tt0104879,Miracle Beach,,1992,\N,88,1488.0,nm0082839,nm0811143
2762,tt0105291,Ruby,,1992,\N,110,1561.0,nm0205498,nm0533334
2972,tt0111093,Scớrnéd,Scorned,1993,\N,100,1696.0,"nm0043335,nm0446542",nm0002989
3011,tt0112641,Casino,,\N,1995,178,493532.0,"nm0683380,nm0000217",nm0000217
3182,tt0117151,"Goodbye, South, Goodbye",,1996,\N,124,1681.0,"nm0160883,nm0304709,nm0398736",nm0396284
3395,tt0126388,Legionnaire,,1998,\N,99,23681.0,"nm0504802,nm0000241,nm0607286",nm0003423
3431,tt0133046,Teaching Mrs. Tingle,Teaching Mrs. Tingle,1999,\N,96,20488.0,nm0932078,nm0932078
3434,tt0133240,Treasure Planet,,2002,\N,95,111137.0,"nm0829044,nm0166256,nm0615780,nm0972395,nm0254645,nm0744429","nm0615780,nm0166256"
3448,tt0137439,Autumn Tale,,\N,1998,112,5058.0,nm0006445,nm0006445
3465,tt0139876,Baasha,,1995,\N,145,9913.0,"nm0471452,nm0049400",nm0471452
3480,tt0142238,Dragon Ball Z: Bojack Unbound,,1993,\N,50,5845.0,"nm0868066,nm0468715",nm0973920
3582,tt0166233,Kad mrtvi zapjevaju,,1998,\N,99,1090.0,"nm0559105,nm0660453",nm0660453
3711,tt0194314,Romance,Romance,1999,\N,84,10561.0,nm0106924,nm0106924
3754,tt0206963,My First Mister,My First Mister,2001,\N,109,5591.0,nm0291589,nm0001441
3864,tt0241303,Chớcớlát,Chocolat,2000,\N,121,185588.0,"nm0364862,nm0414608",nm0002120
