column0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,writers,directors
4,tt0010600,The Doll,Die Puppe,1919,\N,66,1898.0,true,"nm0006782,nm0473134,nm0523932,nm0932559",
7,tt0011841,Way Down East,Way Down East,1920,\N,145,5376.0,true,"nm0662461,nm0103755,nm0342604,nm0446189,nm0000428",
9,tt0012494,Déstiny,Der müde Tod,1921,\N,97,5842.0,true,"nm0000485,nm0902376",
25,tt0015163,The Navigator,The Navigator,1924,\N,59,9652.0,true,"nm0115669,nm0593477,nm0369841",
38,tt0016220,The Phantom of the Opera,The Phantom of the Opera,1925,\N,93,17887.0,true,"nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473",
42,tt0016630,Báttling Bútlér,Battling Butler,1926,\N,77,3285.0,true,"nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650",
81,tt0021015,Juno and the Paycock,,1929,\N,85,2275.0,false,"nm0639997,nm0000033,nm0720904",
118,tt0023973,Thé Éáglé ánd thé Háwk,,1933,\N,73,,true,"nm0589316,nm0736752,nm0766850",
119,tt0023986,Émplớyéés' Éntráncé,,1933,\N,75,,true,"nm0696190,nm0091200",
123,tt0024184,The Invisible Man,The Invisible Man,1933,\N,71,33562.0,true,"nm0920229,nm0792670,nm0002545,nm0943804",
125,tt0024216,King Kong,King Kong,1933,\N,100,83177.0,true,"nm0187256,nm0741656,nm0178260,nm0908624,nm0330390",
135,tt0025028,Dames,,1934,\N,91,2038.0,true,"nm0202681,nm0520501",
163,tt0027478,The Crime of Monsieur Lange,Le crime de Monsieur Lange,1936,\N,80,,true,"nm0144475,nm0699535,nm0719756",
180,tt0028333,Swing Timé,,1936,\N,103,,true,"nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0892044,nm0949130",
215,tt0030341,The Lady Vanishes,The Lady Vanishes,1938,\N,96,50707.0,true,"nm0924781,nm0319148,nm0490950",
