tconst,directors,primaryTitle,originalTitle,year,runtimeMinutes,numVotes,label,writers,title_is_same,normalized_title,log_numvotes,director_success_rate,director_movie_count,writer_success_rate,writer_movie_count,tomatoMeter,audienceScore,has_rt_match,genre_sci-fi,genre_mystery_and_thriller,genre_crime,genre_animation,genre_musical,genre_nature,genre_music,genre_biography,genre_documentary,genre_comedy,genre_holiday,genre_horror,genre_history,genre_romance,genre_anime,genre_lgbtq+,genre_adventure,genre_unknown,genre_kids_and_family,genre_action,genre_war,genre_drama,genre_sports_and_fitness,genre_fantasy,genre_western
tt0023649,nm0003433,Vampyr,Vampyr,1932,75.0,17361.0,1,"nm0494257,nm0432143,nm0003433",1,vampyr,9.762039,1.0,3.0,0.8333333333333334,2.0,98.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt4824308,nm1880561,God's Not Dead 2,God's Not Dead 2,2016,120.0,12242.0,0,"nm0465484,nm0813301",1,gods not dead 2,9.412709,0.0,4.0,0.0,3.0,10.0,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0177650,"nm0569790,nm0039468",Company Man,Company Man,2000,95.0,2073.0,0,"nm0039468,nm0569790",1,company man,7.637234,0.0,1.0,0.1666666666666666,2.0,14.0,44.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0042296,nm0188669,Caged,Caged,1950,96.0,3818.0,1,"nm0446132,nm0774441",1,caged,8.247744,1.0,5.0,1.0,2.0,33.0,83.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
tt1866249,nm0506802,The Sessions,The Sessions,2012,95.0,42241.0,1,"nm0506802,nm0639694",1,the sessions,10.651171,1.0,1.0,1.0,1.0,91.0,80.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0120036,nm0005436,Rosewood,Rosewood,1997,140.0,3558.0,1,nm0201304,1,rosewood,8.177235,0.6666666666666666,3.0,0.25,4.0,87.0,83.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
tt11778272,nm0854697,Crớck ớf Gớld: Á Féw Rớúnds with Sháné MácGớwán,Crock of Gold: A Few Rounds with Shane MacGowan,2020,124.0,1192.0,1,nm0854697,0,crock of gold a few rounds with shane macgowan,7.0842266,0.5,2.0,0.5,2.0,96.0,92.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1687247,"nm4363461,nm5496949,nm2051050,nm9546825,nm4335102,nm9198261,nm5197357,nm1486915,nm4302299,nm2465524,nm4082140,nm4427215,nm1780501,nm3853714,nm4642456,nm2444458,nm6885237,nm3416434,nm1878854,nm1228224,nm3388028,nm4231258,nm1067715,nm3401234,nm4558775,nm1531832,nm2464693,nm2266744,nm2660881,nm1754704,nm3465005,nm4309887,nm7470817,nm3946993,nm0531817",Life in a Day,Life in a Day,2011,95.0,15167.0,1,,1,life in a day,9.626944,1.0,1.0,0.476174206379712,1.3870588235294117,80.0,79.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0100211,nm0002020,Music Box,Music Box,1989,124.0,7564.0,1,nm0000390,1,music box,8.931288,1.0,5.0,0.3333333333333333,3.0,76.0,76.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt4265508,"nm0011639,nm0843467",Amateur Night,Amateur Night,2016,92.0,5338.0,0,"nm0011639,nm0843467",1,amateur night,8.582793,0.0,1.0,0.0,1.0,0.0,25.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020768,nm0003638,City Girl,City Girl,1930,77.0,3199.0,1,"nm0504443,nm0896826,nm0651000,nm0129721,nm0385012",1,city girl,8.070906,1.0,4.0,1.0,2.2,63.0,83.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt0381682,nm0600546,A Hole in My Heart,Ett hål i mitt hjärta,2004,98.0,4825.0,0,nm0600546,0,a hole in my heart,8.481773,0.6666666666666666,3.0,0.6666666666666666,3.0,47.0,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0068278,nm0001202,The Bitter Tears of Petra von Kant,The Bitter Tears of Petra von Kant,1972,124.0,9312.0,1,nm0001202,1,the bitter tears of petra von kant,9.139167,1.0,7.0,1.0,7.0,88.0,85.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt2180411,nm0551128,Into the Woods,Into the Woods,2014,125.0,137634.0,0,nm0487567,1,into the woods,11.83236,0.5,4.0,0.0,1.0,71.0,49.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0034798,nm0374702,The Glass Key,The Glass Key,1942,85.0,6214.0,1,"nm0490206,nm0358591",1,the glass key,8.734721,0.5,2.0,0.8333333333333333,2.0,78.0,71.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0097216,nm0000490,Do the Right Thing,Do the Right Thing,1989,120.0,97795.0,1,nm0000490,1,do the right thing,11.490639,1.0,6.0,1.0,3.0,91.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt14372240,nm1592239,The Year Earth Changed,The Year Earth Changed,2021,48.0,3323.0,1,,1,the year earth changed,8.108924,1.0,1.0,0.476174206379712,1.3870588235294117,100.0,96.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1502404,nm0527261,Drive Angry,Drive Angry,2011,104.0,97199.0,0,"nm0267805,nm0527261",1,drive angry,11.484526,0.0,3.0,0.0,2.5,47.0,37.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
tt0076855,nm0889513,"One Sings, the Other Doesn't","One Sings, the Other Doesn't",1977,120.0,1742.0,1,nm0889513,1,one sings the other doesnt,7.463363,1.0,5.0,1.0,6.0,64.0,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt4557956,nm0855188,Crásh Pád,Crásh Pád,2017,91.0,4392.0,0,nm0145891,1,crash pad,8.387768,0.0,1.0,0.0,1.0,54.0,52.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0056327,nm0793983,Pale Flower,Pale Flower,1964,96.0,3520.0,1,"nm0410982,nm0044709,nm0793983",1,pale flower,8.1665,1.0,1.0,1.0,1.3333333333333333,92.0,91.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt2124787,nm2574176,Finál Girl,Final Girl,2015,84.0,15540.0,0,"nm5038047,nm2687643,nm0769181,nm0785162",0,final girl,9.651237,0.0,1.0,0.0,1.25,31.0,24.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0443295,nm0331532,"Yours, Mine & Ours","Yours, Mine & Ours",2005,88.0,3558.0,0,"nm0120816,nm0452235,nm0789520,nm0480048,nm0205070,nm0140717",1,yours mine ours,8.177235,0.0,4.0,0.0833333333333333,1.5,6.0,51.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1127221,nm0814786,Not Forgotten,Not Forgotten,2009,96.0,3558.0,0,"nm1497546,nm0814786",1,not forgotten,8.177235,0.0,1.0,0.0,1.0,15.0,18.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0057578,nm0000755,This Spớrting Lifé,This Spớrting Lifé,1963,134.0,6365.0,1,nm0832456,1,this sporting life,8.758727,1.0,1.0,1.0,1.0,96.0,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0118540,nm0000490,4 Little Girls,4 Little Girls,1997,102.0,3181.0,1,,1,4 little girls,8.065266,1.0,6.0,0.476174206379712,1.3870588235294117,100.0,89.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0108358,"nm0181902,nm0418883",Tombstone,Tombstone,1993,130.0,3558.0,1,nm0418883,1,tombstone,8.177235,1.0,1.0,1.0,1.0,72.0,94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
tt0166195,nm0583515,Foolish,Foolish,1999,84.0,3558.0,0,"nm0341176,nm0005290",1,foolish,8.177235,0.0,1.0,0.0,1.5,0.0,66.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt3774802,nm2986811,Pandemic,Pandemic,2016,91.0,9197.0,0,nm3986004,1,pandemic,9.126741,0.0,1.0,0.0,1.0,44.0,73.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0111488,nm0332392,Trial by Jury,Trial by Jury,1994,107.0,1871.0,0,"nm0441750,nm0332392",1,trial by jury,7.534763,0.0,1.0,0.0,1.5,8.0,27.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043278,nm0591486,An American in Paris,An American in Paris,1951,114.0,32528.0,1,nm0503585,1,an american in paris,10.389887,1.0,6.0,1.0,2.0,95.0,79.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0279889,nm0664756,Joe Somebody,Joe Somebody,2001,98.0,10437.0,0,nm0791806,1,joe somebody,9.253208,0.0,2.0,0.0,2.0,21.0,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0259324,nm0425756,Ghost Rider,Ghost Rider,2007,110.0,231319.0,0,nm0425756,1,ghost rider,12.351558,0.0,1.0,0.25,4.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
